GroupID,Category,Term,Description,LogP,Log(q-value),InTerm_InList,Genes,Symbols,Type
2_Summary,KEGG Pathway,dme00190,Oxidative phosphorylation,-19.018937,-16.21,"31604,31697,31950,32249,33179,33528,34394,36328,36640,36695,36900,37466,37617,37922,38612,39282,39846,39950,40477,41324,41845,42291,42341,42591,42739,42759,43693,43829,44228,44390,44702,46069,46260,50178,246543,317846,317928,318868,5740185,5740593,8673970,12797919,32007,32940,34420,34499,34500,35712,37388,41448,41449,42163,42505,43483,4379863,50405,50459,41468,42326,31248,35396,43189,43191,117364,246599,319023,31266,32045,33796,33797,34618,35437,38459,38915,41959,42020,42132,318554,7354435","31604,31697,31950,32249,33179,33528,34394,36328,36640,36695,36900,37466,37617,37922,38612,39282,39846,39950,40477,41324,41845,42291,42341,42591,42739,42759,43693,43829,44228,44390,44702,46069,46260,50178,246543,317846,317928,318868,5740185,5740593,8673970,12797919,32007,32940,34420,34499,34500,35712,37388,41448,41449,42163,42505,43483,4379863,50405,50459,41468,42326,31248,35396,43189,43191,117364,246599,319023,31266,32045,33796,33797,34618,35437,38459,38915,41959,42020,42132,318554,7354435","ND-ASHI,ND-MNLL,ATPsyndelta,CG15719,ND-15,ND-B14.5B,Cox10,Vha36-2,ND-B15,ND-51L2,Vha16-4,ND-B12,blw,Nurf-38,Cyt-c1,Vha16-2,UQCR-C2,UQCR-Q,ND-B14.5AL,SdhCL,ATPsynO,ATPsynD,Vha13,ND-42,VhaAC39-2,ATPsynCF6,ATPsynC,ATPsynbeta,ND-PDSW,RFeSP,Vha36-1,ATPsynG,ND-SGDH,ND-B8,Vha100-3,Vha16-3,ND-MLRQ,COX6CL,UQCR-11,ND-MWFE,CG40472,UQCR-6.4L,sesB,Idh3a,RpS27A,Porin2,porin,CG12107,CG15653,GC1,GC2,CG14316,CG5793,CG1907,CG34150,NdufA3,osi,CG14740,Scsalpha2,sgg,Atg18b,Ald2,Hex-t2,Hex-t1,Rpi,CG31913,ttm50,Hsp60A,Hsp60C,CG12511,Tom70,ttm3,mge,CG7387,Mic26-27,CG10340,Atg8b,CG31008,CG42302",DE I
2_Summary,KEGG Pathway,dme00190,Oxidative phosphorylation,-17.682604,-15.035,35/146,###############################################################################################################################################################################################################################################################,"ND-MNLL,ATPsyndelta,ND-B18,ND-20,ND-15,ND-B14.5B,COX5B,COX5BL,ND-B17,Cyt-c-d,COX4,ND-B14,ND-B15,ND-19,UQCR-Q,CG14077,COX7AL,CG6629,SdhC,ATPsynO,ATPsynD,ATPsynCF6,ATPsynC,sun,ND-PDSW,Vha16-1,ox,cype,ATPsynG,ND-SGDH,CG31644,UQCR-11,ND-MWFE,CG43206,CG44296,Porin2,CG17140,CG14757,CG14740,Scsalpha2,Fum4,CG34150,Ald1,CG5110,chrb,14-3-3epsilon",DNB I
4_Summary,GO Biological Processes,GO:1990542,mitochondrial transmembrane transport,-9.6972208,-7.123,"31266,31689,32007,32045,33796,34390,34499,34500,34618,35437,35553,37983,38459,40552,41448,41449,41500,42268,42298,42706,318237,3772641,7354435,32968,33905,37312,35052,36465,40624,42885,43114,3355130,3772662,33781,34264,34840,35577,36173,37507,37769,37842,40506,40542,41023,41137,41397,42360,42524,42525,42579,43018,43823,44029,44072,44086,53443,117368,318941,3354919,31706,33202,33334,34349,34427,35068,36197,36775,37325,37618,37673,38529,38762,39235,40232,40410,41446,41551,42341,42739,43003,43590,44289,44965,49260,64877,246527,35690,42992,44021,33425,33834,34245,35396,37122,37179,37402,40031,42066,42186","31266,31689,32007,32045,33796,34390,34499,34500,34618,35437,35553,37983,38459,40552,41448,41449,41500,42268,42298,42706,318237,3772641,7354435,32968,33905,37312,35052,36465,40624,42885,43114,3355130,3772662,33781,34264,34840,35577,36173,37507,37769,37842,40506,40542,41023,41137,41397,42360,42524,42525,42579,43018,43823,44029,44072,44086,53443,117368,318941,3354919,31706,33202,33334,34349,34427,35068,36197,36775,37325,37618,37673,38529,38762,39235,40232,40410,41446,41551,42341,42739,43003,43590,44289,44965,49260,64877,246527,35690,42992,44021,33425,33834,34245,35396,37122,37179,37402,40031,42066,42186","ttm50,CG1409,sesB,Hsp60A,Hsp60C,CG4995,Porin2,porin,Tom70,ttm3,tomboy40,Tpc2,mge,Sfxn1-3,GC1,GC2,Tim17a1,Mpc1,CG11779,CG4704,CG32832,Shawn,CG42302,Sec61gamma,Sec61alpha,CG13426,Sgt,CG4676,Vps37B,Spase22-23,CG4956,lt,CG7215,Hel25E,Gdi,Rab14,Rab2,Syx7,CG9308,Nxt1,gammaSnap1,Arf1,Vps24,Sys1,CG8149,CG14712,CG4572,Rab1,AP-2sigma,CG17819,Clbn,Arf4,Ref1,Ran,DCTN2-p50,SF2,prt,CG31787,Dbp80,Ykt6,Stip1,halo,CG13137,KdelR,Sytalpha,CG9067,Rho1,Nnf1a,CycB,CG13544,CG15012,Mis12,CG32069,polo,Als2,aurA,Snx3,Vha13,VhaAC39-2,veli,Bet5,flw,Fer2LCH,Pp1-87B,cpx,CG30284,CG1598,EMC6,nmd,PIG-Wa,chic,borr,Atg18b,Lamtor2,CG18190,mago,bora,cher,14-3-3epsilon",DE I
6_Summary,GO Biological Processes,GO:1990542,mitochondrial transmembrane transport,-2.6384288,-0.001,4/75,"3,126,631,689,320,070,000,000,000","ttm50,CG1409,sesB,CG9582,CG13426",DE II
10_Summary,GO Biological Processes,GO:0010821,mitochondrion organization,-2.296921,0,3/47,"317,493,200,737,899","CG10761,sesB,Pgam5-2",DE II
4_Summary,GO Biological Processes,GO:0007005,mitochondrion organization,-11.701008,-9.146,36/236,###############################################################################################################################################################################################################################################################,"CG1409,ND-MNLL,Hsp60A,ND-B18,ND-20,ND-15,ND-B14.5B,Hsp60C,CG12511,CG5676,Tom70,CG12107,CG14757,Tom7,ND-B14,rho-7,ND-B15,ND-19,CG7387,CG6878,Mics1,COX7AL,Tim17a1,CG4520,blp,Atg8b,Spag1,ND-PDSW,Tim17b2,ND-SGDH,CG15283,CG31008,CG31913,Tim23,Tim17b,CG34150,Tpc2,Mpc1,CG32832,Shawn,CG4415,CG5196,Spase12,borr,Pen,KdelR,Eb1,CG18190,Nxt1,Cby,Ran,ATPsynC,RpL40,RpS27A,ADPS,Cat,CG5823",DNB I
14_Summary,GO Biological Processes,GO:0007005,mitochondrion organization,-2.8350505,-1.11,17/236,"3,256,533,528,337,960,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","ND-20,ND-B14.5B,Hsp60C,CG12511,Atg18b,ND-B14,Tim10,CG3092,CG30412,Mics1,Tim17a1,CG4520,Tim17b2,Phb2,COX7A,CG31008,CG31913,Sec61gamma,RpL40,RpS27A,ADPS,Cat,ATPsynC,CG5254,Tpc2,Sfxn1-3,GC2,borr,CG18190,Nxt1,CG13887,Srp14,Spase22-23,Ran,Spase12,Parp",DNB II
8_Summary,Reactome Gene Sets,R-DME-1592230,Mitochondrial biogenesis,-6.3562638,-4.212,8月20日,"3,195,041,845,422,910,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","ATPsyndelta,ATPsynO,ATPsynD,bb8,ATPsynCF6,ATPsynC,sun,ATPsynG,r,awd,Ald1,ND-20,Vha16-1,fbl",DNB I
18_Summary,GO Biological Processes,GO:0070286,axonemal dynein complex assembly,-3.824702,-2.171,"331,303,494,437,125,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","331,303,494,437,125,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","tilB,CG10839,Dnaaf3,Dnaaf6,Dnali1,CG6980,CG31294,CG34274,Rsph3,Rsbp15,Cp110,CG13693,CG13502,CG7352,CG5614,CG32819,CG4970,Hyls1,halo,robl22E,robl37BC,neb,CG10834,CG14763,CycB,Dpy-30L2,Mis12,CG7276,14-3-3epsilon,Rab1,DCTN2-p50,sub",DE I
19_Summary,GO Biological Processes,GO:0036158,axonemal dynein complex assembly,-2.7666792,-1.205,4月14日,"349,443,948,142,755,000,000","CG10839,Zmynd10,CG17083,dtr",DNB I
7_Summary,GO Biological Processes,GO:0044782,cilium organization,-4.1675146,-2.061,16/164,"3,313,634,894,349,340,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Cp110,yuri,Tektin-A,CG4714,CG13502,Rsph4a,CG5048,Dnali1,Rsbp15,B9d1,CG5614,hmw,CG17083,CG6980,CG32819,CG34457,CG9313,CG15547,CG14763,CycB,CG31275",DNB II
11_Summary,GO Biological Processes,GO:0007017,microtubule-based process,-5.6592699,-3.815,"31248,32518,32535,33130,33136,33334,33412,34158,34944,34946,35166,35293,35438,35757,36706,37125,37179,37238,37402,37518,37618,37673,37841,38480,38751,38762,39598,39668,40126,40232,40702,40982,41440,41446,41481,42186,42524,42955,43359,43739,44072,44086,44870,45269,47877,49260,53439,318227,318666,318949,3355126,5740212,33834,33835,34245,34404,35095,35526,35713,36775,36975,37325,37368,40506,41034,41341,41670,41885,42066,42761,43490,44724,3772646,33226,33661,37808,41850,44289,31359,32623,33444,33619,35596,37387,38487","31248,32518,32535,33130,33136,33334,33412,34158,34944,34946,35166,35293,35438,35757,36706,37125,37179,37238,37402,37518,37618,37673,37841,38480,38751,38762,39598,39668,40126,40232,40702,40982,41440,41446,41481,42186,42524,42955,43359,43739,44072,44086,44870,45269,47877,49260,53439,318227,318666,318949,3355126,5740212,33834,33835,34245,34404,35095,35526,35713,36775,36975,37325,37368,40506,41034,41341,41670,41885,42066,42761,43490,44724,3772646,33226,33661,37808,41850,44289,31359,32623,33444,33619,35596,37387,38487","sgg,CCT6,CG8509,tilB,Cp110,halo,robl22E,Rcd4,CG10839,BicC,robl37BC,neb,CG10834,CG14763,SRPK,Dnaaf3,CG18190,betaTub56D,mago,CG13502,CycB,CG13544,tsr,Dpy-30L2,Rsph3,Mis12,Dnaaf6,CG7276,Rcd7,polo,CG2104,Sgt1,Dnali1,aurA,Rsbp15,14-3-3epsilon,Rab1,CG6980,betaTub97EF,awd,Ran,DCTN2-p50,sub,Prosbeta5,tws,Pp1-87B,pont,CG32819,CG31294,CG31802,CG17493,CG34274,chic,eIF4A,borr,pim,CG5790,Act42A,U2A,Rho1,APC10,Nnf1a,Act57B,Arf1,Cks85A,Tctp,B52,Act88F,cher,RpS3,Bub3,san,mei-218,lwr,HP6,fzr2,MRG15,flw,cib,Arp2,Arpc5,ed,coro,cpa,CG14995",DE I
9_Summary,GO Biological Processes,GO:0007017,microtubule-based process,-3.785759,-1.77,31/483,"32,518,331,363,489,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","CCT6,Cp110,yuri,Tektin-A,CG14763,CG8407,CG18190,CG9313,CG13502,CycB,Rsph4a,Hsp83,CG5048,Rcd7,polo,alphaTub84B,Sgt1,Dnali1,aurA,Rsbp15,hmw,CG17083,CG6980,CG15547,Ran,tws,Pp1-87B,pont,CG32819,CG31802,CG31275",DNB II
4_Summary,GO Biological Processes,GO:0007099,centrosome cycle,-3.0431739,-0.074,3月26日,"331,363,415,831,894,000,000","Cp110,Rcd4,CG31802,Rcd7",DE II
2_Summary,GO Biological Processes,GO:0007098,centrosome cycle,-3.2975145,-0.211,5/73,"33,136,341,584,012,600,000,000,000","Cp110,Rcd4,Rcd7,tws,CG31802",Gradient
16_Summary,GO Biological Processes,GO:0048232,male gamete generation,-3.9307267,-2.25,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"Imp,Hsp60C,SmB,porin,spag4,kmg,Prosalpha6T,ProtA,ProtB,U2A,CSN7,achi,Dnaaf3,mip40,exu,CycB,fzr2,Rsph3,CG14835,nes,Rcd7,polo,Arf1,soti,Mst89B,Tssk,Rab1,CG6980,fan,nmd,slmo,sub,Mst98Ca,Tpl94D,CG31294,Mst36Fa,ste24c,CG34274",DE I
13_Summary,GO Biological Processes,GO:0048232,male gamete generation,-4.0151032,-2.254,30/363,"3,379,634,244,344,260,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Hsp60C,aust,SmB,Bug22,Yip1d1,kmg,nht,Cyt-c-d,achi,wuc,tra2,CG17669,exu,fzr2,eIF4E3,Rcd7,Past1,soti,Mst89B,Cby,bond,tbrd-1,CG6980,mil,fan,mei-P26,fbl,Mst98Ca,gish,RacGAP84C",DNB I
16_Summary,GO Biological Processes,GO:0007291,sperm individualization,-2.6334459,-0.935,7/58,"340,143,489,434,995,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","gudu,yuri,Cyt-c-d,nes,soti,hmw,gish,Hsp60C,nht,ATPsynbetaL,Rcd7,polo,Mst89B,CG6980,ALiX,Mst98Ca,Mst36Fa,ste24c",DNB II
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,